gap_id,producer,consumer,resolution,evidence,status
G01,Agent1,Agent3,"Canonical T,N,C bundle preserves std/covariance/ensemble and adds inspection-time axis","road_observation_state_bundle_v1 plus 153 tests",resolved
G02,Agent1,Agent2,"Latent observed_channel_mask and measurement-space node/global masks remain separate","no_latent_to_sensor_leak=true in final audit",resolved
G03,Agent1,Agent3,"Canonical field names and explicit aliases are frozen","bundle schema and closed-loop loader",resolved
G04,Agent1,Agent3,"Canonical oracle/synthetic/real evidence classes are frozen","bundle schema and provenance tests",resolved
G05,Agent1,Agent2,"Road time fields are explicit; simulation cycle remains audit provenance only","bundle metadata and road_time_mapping_v1",resolved_interface
G06,Agent1,Agent2,"Coordinate frame registration id and source hashes are mandatory","bundle validator and final manifest",resolved
G07,Agent1,Agent3,"Uncalibrated uncertainty remains NaN and trigger-ineligible","final closed-loop audit",resolved
G08,Agent2,Agent3,"Scenario tensors bind to versioned contracts and scenario hash","same_scenario_hash=true in final audit",resolved_interface
G09,Agent2,Agent3,"Typed continue/request/stop/re-assimilate state machine is implemented","RoadClosedLoopForecaster and maintenance smoke",resolved
G10,Agent2,Agent3,"Runtime allowlist and audit-only leakage firewall are tested","road_observation_innovation tests",resolved
G11,Agent3,Integration,"Untrained hazard/RUL returns unavailable_untrained","all_risk_unavailable=true",resolved_boundary_only
G12,All,Integration,"Independent trajectory/road-section grouped holdout is required","only one eta0 trajectory currently exists",blocked_by_data
G13,All,Integration,"Road h1-h3 requires calibrated load/inspection blocks","WIM environment and calendar calibration are absent",blocked_by_data
G14,All,Integration,"One central branch contains contracts code audit figures decisions and hashes","codex/road-closed-loop-integration",resolved

