gate,data_item,required_level,required_cycles_or_states,used_for,acceptable_fem_source,current_source,status,notes
Run health/provenance,FEM run name and README,required,all,setting alignment and traceability,FEM README or handoff markdown,soft-hist0 main FEM README; n-step10 README,present,"Need exact run name, BC, mesh, precrack convention, solver settings."
Mesh/probe alignment,node coordinates,required,all,common-probe projection and field plots,mesh_geometry.mat,soft-hist0 mesh_geometry.mat; n-step10 mesh_geometry.mat,present,"Need node_coords or equivalent."
Mesh/probe alignment,connectivity/elements,required,all,element centroids and process-zone measures,mesh_geometry.mat or element_fields MAT,soft-hist0 mesh_geometry.mat; n-step10 mesh_geometry.mat,present,"Need element topology to define element fields and centroids."
Mesh/probe alignment,element centroids and area,required,all,near-tip integrals and p99/p999 reductions,mesh_geometry.mat or element_fields MAT,soft-hist0/n-step10 MATs,present,"If centroids absent, derive from node coordinates and connectivity."
Initial-state audit,precrack profile and width,required,initial/state0,initial alignment,README or metadata MAT,soft-hist0 README and diffuse_precrack_metadata.mat,present,"Must know soft diffuse precrack versus hard d=1 or void."
Initial-state audit,initial alpha_bar,required,initial/state0,soft-hist0 alignment,README/metadata/field export,soft-hist0 README states hist0,present,"Benchmark expects alpha_bar=0 initially."
Initial-state audit,initial f_fatigue,required,initial/state0,soft-hist0 alignment,README/metadata/field export,soft-hist0 README states f=1,present,"Benchmark expects f=1 initially."
Cyclewise fields,d or alpha element field,required,"c1,c2,c3,c10,c20,c40,c69/event",damage shape and crack path,element_fields_c1_c*.mat,soft-hist0 and n-step10 element fields,present,"Primary field for crack-tip position and process-zone width."
Cyclewise fields,alpha_bar or hist_fat element field,required,"c1,c2,c3,c10,c20,c40,c69/event",fatigue/history accumulation,element_fields_c1_c*.mat,soft-hist0 and n-step10 element fields,present,"Main field gap in many PIDL runs."
Cyclewise fields,f_fatigue element field,required,"c1,c2,c3,c10,c20,c40,c69/event",degradation localization,element_fields_c1_c*.mat,soft-hist0 and n-step10 element fields,present,"Needed to see whether degradation is local or global."
Cyclewise fields,psi_plus peak-to-date or active driver,required,"c1,c2,c3,c10,c20,c40,c69/event",driver localization and active work,element_fields_c1_c*.mat,soft-hist0 and n-step10 element fields,present,"Must label timing: peak-to-date versus unloaded/end-cycle."
Cyclewise fields,psi_raw undegraded tensile driver,recommended,"c1,c2,c3,c10,c20,c40,c69/event",separate elastic driver from degradation,field export or reconstructed from psi_active/g(d),n-step10 export includes reconstructable fields,partial,"If not exported directly, reconstruct only with documented residual stiffness and timing."
State timing,state0 initial/preload/prehistory,required for full protocol,initial,state-timing alignment,Request 20 state-timing handoff,not in this folder,missing,"Needed for full c0/c1 timing diagnosis."
State timing,cycle1 peak pre/post history refresh,required for full protocol,c1,timing of first divergence,Request 20 state-timing handoff,not in this folder,missing,"Old cyclewise exports may mix unloaded fields and peak-to-date psi."
State timing,unloaded post-history refresh,required for full protocol,c1,c1 mapping audit,Request 20 state-timing handoff,not in this folder,missing,"Needed if comparing PIDL post-history states."
Energies,E_el cyclewise,required,"c1,c2,c3,c10,c20,c40,c69/event",elastic relaxation trajectory,mechanism metrics CSV,soft-hist0 metrics; n-step10 metrics,present,"For n-step10 unloaded rows, E_el can be near zero; timing must be labelled."
Energies,E_d cyclewise,required,"c1,c2,c3,c10,c20,c40,c69/event",damage energy and Delta E_d,mechanism metrics CSV,soft-hist0 metrics; n-step10 metrics,present,"Compare absolute and incremental separately."
Energies,total energy,recommended,"c1,c2,c3,c10,c20,c40,c69/event",energy balance summary,mechanism metrics CSV,soft-hist0 metrics; n-step10 metrics,present,"Definitions must be documented."
Energies,E_hist or irreversibility penalty,not expected from FEM,none,PIDL loss-balance comparison,FEM does not use PIDL-style loss penalty,not applicable,not_applicable,"FEM irreversibility is solver-enforced; gradient/loss penalty is PIDL-side only."
Event criterion,native FEM fracture cycle,required,event,life and matched-event comparisons,README or metrics CSV,soft-hist0 Nf=69,present,"Need exact detector definition."
Event criterion,first right-boundary event and boundary count,required,event,harmonized event comparison,metadata/event audit or metrics CSV,soft-hist0/n-step10 metadata,present,"Needed to avoid comparing different event definitions."
Reductions,p99 and p999 field reductions,recommended,"c1,c2,c3,c10,c20,c40,c69/event",avoid max/mean traps,metrics CSV or computed from fields,available from fields; metrics may include,present,"Use p99/p999 to reduce single-point noise."
Reductions,near-tip integral,required,"c1,c2,c3,c10,c20,c40,c69/event",local mechanism comparison,metrics CSV or computed from fields,available from fields,present,"Definition radius/window must be documented."
Reductions,process-zone width/y-span,required,"c1,c2,c3,c10,c20,c40,c69/event",field shape comparison,computed from d/alpha fields,available from fields,present,"Thresholds such as alpha>0.5 and alpha>0.95 must be fixed."
PIDL gradient reference,FEM gradients for E_el/E_d/E_hist,not required,none,none,FEM reference not needed,not applicable,not_applicable,"Gradient/loss balance is PIDL-side. Do not ask FEM for NN gradients."
Mirror integrity,local compact MAT mirror,optional,all,convenient plotting source,valid nonzero MAT file,source_handoff_soft_hist0 MAT,invalid,"Zero-byte on 2026-06-02; re-sync before using."
